菜品标题,特点,原料,制作流程,已发布,发布时间
（北京启迪俱乐部创意风味菜品）薄荷凉拌烤牛肉（附自制泰味辣椒酱制法）,"特点：
味型酸辣香，爽口。以往薄荷叶的用法多是油炸后配菜，而如今在凉菜制作中，厨师们舍弃油炸的方法，直接将鲜薄荷叶拌入凉菜中，既可以吃到薄荷的清凉口感，还健康不油腻，是制作凉菜的一味新配料。
菜品制作：
李永锋，现任北京启迪俱乐部行政总厨。","原料：
牛腩肉200克，鲜薄荷叶8克。
调料：
自制辣椒酱30克，鲜香茅草5克，蚝油4克，盐3克，味精2克，鲜木瓜汁10克。
自制泰味辣椒酱制法：
原料：
葱8克，蒜10克，西芹20克，鲜香茅草10克，香菜10克，鲜美人椒100克，鲜朝天椒100克。
制作：
将原料入搅拌机打碎成蓉，然后加入鲜榨柠檬汁30克鱼露50克拌匀，放入保鲜冰箱，随用随取即可。此辣椒酱突出辣酸味，略带蔬菜的清香。","制作方法：
（1）将牛肉加入鲜香茅草蚝油盐味精木瓜汁腌制半天，然后入烤箱（上火200下火150）烤20分钟至刚刚熟还有点脆度时取出，顶刀切薄片。
（2）将切好的烤牛肉片入盛器，加入薄荷叶自制辣椒酱洋葱丝胡萝卜丝小葱段圣女果等辅料拌匀即可上桌。",未发布,
炫彩鱼粒（附家乐鲜辣浸泡汁制法）,"菜式分析：
此菜中，用浓缩鸡汁迅速激发原材料的本味，全面保证菜肴的鲜美底味；用家乐鲜露提鲜，即使在高温加热条件下也不反酸，使菜肴具有持久的香味；用辣鲜露使辣味与鲜味平衡，使鲜辣浸泡汁及菜品的口味呈现出完美的复合风味。","原料：
去皮净鱼肉250克，杭椒圈100克，红小米椒圈80克，藕丁60克，玉米粒40克，干淀粉15克。
调料：
鲜花椒8克，家乐鲜辣浸泡汁490，克家乐鸡精8克，家乐鲜露3克，辣椒油6克，色拉油400克（约耗40克）。
家乐鲜辣浸泡汁制法：
家乐浓缩鸡汁十三香胡椒粉各30克，家乐辣鲜露200克，家乐鲜露盐各50克，花雕酒100克。将以上调味品搅拌均匀，可广泛用于水产品的浸泡腌渍使其入味透彻。","制作方法：
（1）将去皮净鱼肉切成0.8厘米见方的丁，入家乐鲜辣浸泡汁内泡2分钟，捞出控净水分，拍匀干淀粉；藕丁粒用开水焯水，冷水过凉。
（2）锅入色拉油烧至五成热，下鱼肉丁略炸，捞出。
（3）锅留底油20克，下鲜花椒杭椒圈红小米椒圈炒熟透，下剩余原料及调料快速翻炒均匀，出锅装盘。",未发布,
（四川成都万里号酒家新品川菜系列）奇味蛏子皇（附秘制酱料配方）,"旺销理由：
这道菜最大的特色就是造型和口味，利用水晶锅巴垫底，摆出立体感较强的造型，再用独特的酱汁调味，令此菜独一无二。","原料：
鲜蛏子皇250克，水晶锅巴50克。
调料：
盐5克，料酒葱姜各8克，秘制酱料40克，色拉油1千克（约耗20克）。
秘制酱料配方：
美极鲜辣汁美极牛肉粉海鲜酱柱侯酱各10克。","制作方法：
（1）将蛏子皇入90的水中汆水，加入盐料酒葱姜入底味，将汆水后的蛏子皇捞起晾凉。
（2）起锅将油烧至五成热，下入水晶锅巴，将其炸至金黄色捞出，控油后放在盘底，上面铺上汆好水的蛏子皇，淋上秘制酱料拌匀即可。",已发布,2025-10-19 23:54:02
秘制鲥鱼（另附自制秘汁制法与烹制鲥鱼心得分享）,"烹制鲥鱼心得分享：
大鳞VS小鳞鱼鲥鱼
以前朱俊师傅给大家介绍了美国鲥鱼缅泰鲥鱼长江鲥鱼的差别。我在挑选鲥鱼时发现了一个小窍门，这就是鲥鱼的鳞片有大小之分，大鳞鲥鱼肉质非常紧，油分少，口感非常一般，而且鱼鳞表面不够光亮，而小鳞鲥鱼的鱼肉则比较细嫩，而且鲜美，油分也明显多于大鳞鲥鱼鱼鳞光滑，透明度高。因此，我建议大家在选择鲥鱼时，一定要选择小鳞鲥鱼。
那么你可能要问，大鳞鲥鱼和小鳞鲥鱼如何区分呢？是不是个头大的鲥鱼鱼鳞就大个，头小的鲥鱼鱼鳞就小呢？
这种理解是错误的。大鳞鲥鱼和小鳞鲥鱼跟鱼体大小没有关系。区分它们其实很简单，小鳞鲥鱼脊背上有一条红色带，而大鳞鲥鱼则没有。
鲜活鲥鱼VS冰鲜鲥鱼
朱俊师傅曾经介绍到市面上常见的鲥鱼根据加工方式的不同分为鲜活鲥鱼冰鲜鲥鱼和冰冻鲥鱼。其实在我们当地鲥鱼可以分为活鲥鱼鲜鲥鱼（长江圈养的鲥鱼刚刚死去，而没有经过任何处理）冰鲜鲥鱼和冰冻鲥鱼四种。在我们酒店常用的是活鲥鱼鲜鲥鱼冰鲜鲥鱼。
活鲥鱼顾名思义就是活着的鲥鱼，价格在620元500克，由于在长江一带圈养，所以个头跟长江鲥鱼基本相同，500600克条，身形比较细长，腥味也最小。对于这种鲥鱼，我们一般采用清蒸的方法，即只加入盐味精啤酒熟猪油（600克鲥鱼加入啤酒120克熟猪油40克）调味，而且都是整条烹调。
鲜鲥鱼就是刚刚死去的鱼，它的身形跟活鲥鱼是完全相同的，只是由于刚刚死去略带腥味。我们同样采用整条烹调的方法，烹调时只加入盐味精酱油熟猪油，熟猪油的用量比上面介绍的略多一点即可。
冰鲜鲥鱼也就是我们常说的缅泰鲥鱼或者美国鲥鱼，我处理它们的方法跟大家几乎是一样的，但是我只加入鸡油，而没有增加熟猪油，因为它有种特殊的风味，反而会影响成菜效果。","原料：
冰鲜鲥鱼1250克，火腿片100克，香菇片50克，笋片20克。
调料：
自制秘汁125克葱段姜片各15克，鸡油30克，葱姜水500克。
自制秘汁制法：
盐味精各200克，白糖150克，鸡精75克，顶汤花雕酒各2千克，酒酿500克，自制火腿汁5克，以上原料调匀即可。
注：自制火腿汁做法：
100克金华火腿洗净，加50克水上笼大火蒸1 小时。","制作方法：
（1）鲥鱼宰杀治净（保持鱼鳞），一片为二，脊背内侧肉厚的地方打浅浅的花刀（方便入味），取半条放入葱姜水中腌制15分钟。
（2）把鱼捞入长盘中，再将秘汁鸡油葱段姜片均匀浇在鱼身上，将火腿片香菇片笋片依次摆放鱼身上，放入蒸箱大火蒸15分钟取出即可。
关键：
自制秘汁均匀调开即可，切不可上火加热。",未发布,
（四川成都宽庭餐厅特色菜品）百草汁花胶（另附百草汁熬制方法）,"特点：
花胶（即上等鱼肚，是鱼鳔的干制品）本身没什么味道，需要靠其他配料来入味增香，由于原料较高档，所以在创新菜时按照纯天然养生的思路设计：一道是半汤菜，与木瓜和番茄搭配，果香酸甜，另一道是百草汁版本，配纯蔬菜熬制的汁，不添加任何色素和复合调料。
介绍：
一道菜好不好，厨师说了不算，实际的点击率才最有说服力。所以在推出一道新菜时，宽庭的大厨们尽可能地展开联想更换配料改变口味，设计好几个版本，在试推阶段，每个版本都会端出去听听客人的意见，留下哪道，客人说了算。
菜品制作：
杜敏，高级烹调师，在川菜大师杨文身边时间最长的弟子，擅长川菜和高档菜的制作，现任成都宽庭餐厅行政总厨。","原料：
发好的花胶80克，菜心4棵。
调料：
百草汁100克。
百草汁熬制方法：
净锅上火烧热，放入番茄1.5干克胡萝卜1千克葱姜蒜共200克西芹200克小米辣100克（以上用料均切成小丁）干炒至出香，放人清水15斤，大火烧开，小火熬制23小时，打去渣子，放盐味精鸡汁调底口。
附注：
这款百草汁是纯天然的蔬菜汁，口味酸甜温和，多用来搭配高档原材料，比如百草汁银鳕鱼，是将银鳕鱼切成大片用姜葱水略腌，入蒸箱蒸67分钟至熟，取出摆盘，取百草汁调味匀芡，浇在银鳕鱼上，撒上香芹粒，点缀一下即成，操作简单，很上档次。","制作方法：
（1）菜心修好汆水摆入盘中，花胶放入高汤中煨入底味，放在菜心上。
（2）取百草汁调味勾芡，浇到花胶上。",未发布,
御厨枚肉海参（附特制海参汁配方制法）,"介绍：
今天要介绍的枚肉海参其实是肉末海参的升级版，这款菜在海参菜销量中位列前茅，其海参软糯透筋，肉末香嫩，筋道且有嚼头，造型美观大方。
枚肉：
是猪脖子两侧带一层油脂的瘦肉，因此比起里脊来有层油质，生煸出来的味道异常鲜美，滑嫩透香，而比起五花肉又不会过于油腻。
厨艺评论：
海参软糯透筋，宝塔菜清爽。酱汁拌饭给人体补充所需的维生素以及胡萝卜素，符合现代营养学的设计。传统与经典版又一次握手，制作简洁明快，将看似枯燥的制作用拟人的手法表现出来，通俗易懂，将知识趣味相容，整体菜品效果不错。","原料：
发好的刺参1只（60头），枚肉粒12克，宝塔菜10克，胡萝卜条5克，米饭50克。
调料：
蚝油味达美酱油味精鸡精各2克，美极鲜味汁冰糖粉各1克，特制海参汁浓汤各35克，葱油15克，料酒5克，葱姜片各1片，湿淀粉2.5克。
特制海参汁配方制法：
高汤1千克，葱油美极鲜味汁各75克，料酒冰糖粉50克，家乐海珍酱各15克，味达美酱油100克，精盐3克，鸡精10克，味精15克，金葱25克。以上调料熬香即可。","制作方法：
（1）锅加葱油烧热，用葱姜,炝锅出香，投入枚肉粒煸炒出香，加入料酒浓汤，依次下入剩余的调料调味，勾流芡，搅匀离火。
（2）另起锅将炒肉粒的味汁烧开调小火，投入海参煨2分钟，捞出用白开水冲一下，放入洁净的毛巾中吸干水分，放入盘中，再放入炒过水的胡萝卜条宝塔菜相随，摆放在海参边，最后旁边扣上米饭。
（3）最后将炒好的肉末均匀地浇淋在海参上，即可上桌。
关键：
1肉末须切黄豆大的粒，煸炒后才有形不会散乱。
2海参一定要用煨汁煨至入味，再用洁净的毛巾吸干，防止渗出汁液。
3盛菜器皿要加热保温，海参口感会更好。",未发布,
果仁酸汤沾水鱼（另附自制酸汤配方制法）,"介绍：
我最近考察了北京广州的餐具市场，发现一种新型器皿日本石火锅，与普通石锅相比，它的造型更时尚豪华，外面为钢制结构，里面是石头制成的，造价较贵，市场价为860元个。它的保温时间长，可以持续1小时沸腾（里面的汤汁始终是滚着的）并且结实不容易裂，上桌后营造气氛，用它盛放的菜，目前是我们店点击率最高的。","原料：
鳜鱼1条（约750克），老豆腐500克，木耳杏鲍菇各300克。
调料：
自制酸汤1千克，色拉油1千克（约耗20克）。
自制酸汤配方制法：
原料：
A料（大蒜生姜小香芹各100克，小米辣150克，香菜80克，小葱50克），B料（番茄酱850克，番茄沙司凯里红酸汤各500克，黄椒酱200克），C料（味精鸡精鸡汁各10克，木姜子油20克）。
制作：
起锅加熟猪油鸡油番茄油各80克，下A料炒香，加水10千克烧开，再加入B料，熬出香味后下C料，捞渣即可。","制作方法：
（1）将鳜鱼宰杀治净去骨，将肉改成1厘米宽的瓦块条；再将鱼头切开，鱼骨切块。
（2）老豆腐切成1厘米见方的正方形块，杏鲍菇切成筷子形状的条备用。将鱼头鱼骨用高油温炸一下。
（3）起锅加自制酸汤烧开，下入杏鲍菇老豆腐入味，然后捞入盘中，下入炸好的鱼头和鱼骨，把小米辣鲜花椒炒香，淋在鱼上面即可。",未发布,
（新疆克拉玛依独山子易弘轩旺销家常菜）铁板农夫鸡（附特制酱料配方制法）,"旺销理由：
此菜中，鸡块腌渍炸制用特制的酱料炒制，有种特殊的酱香味，采用铁板上菜，突出了就餐氛围，保证了上菜温度。
介绍：
冬季来临，一锅热气腾腾的大菜最吸引人眼球的就是份量足口味香价格廉。本期的家常状元菜可都是个顶个的厉害，价格均低于35元，实惠量大出菜快选料新鲜是一大特色。
厨艺评论：
我在试做过程中发现以下几个问题，特提出来与大家共同交流：
1此菜的做法是在台湾三杯鸡的基础上进行了改进，按照蔺师傅所提供的酱汁配方调制的酱汁口感酸甜鲜香，只是在腌制上我觉得不应该用到吉士粉，因为吉士粉自身味道就很香，要是为了增加颜色，可以将斩好的鸡块先放在水中冲掉血水，这样一来会影响此酱汁的特点
2菜做好后可以在铁板上面放一些干葱丝，这样会随着铁板升温菜汁散发出更好的香味。
厨艺评论2：
此菜酱香味浓，鸡肉鲜嫩，用三黄鸡做原料，细嫩上菜速度快。我同意高师傅的点评建议，铁盘烧热后加点黄油及圆葱丝，香味更浓，上桌氛围效果更好。","原料：
三黄鸡450克。
调料：
葱段25克，青红椒块各10克，姜片5克，A料（玫瑰露酒20克，盐8克，鸡精味精各6克，鸡蛋25克，脆炸粉50克，吉士粉15克，面粉100克），清油1千克（约耗100克），特制酱料25克。
特制酱料配方制法：
雀巢美极鲜930克，李锦记海鲜酱1千克，麦芽糖460克，红星二锅头750克，苹果酱1200克，冰花梅酱480克，蜂蜜650克，橙汁50克，大红浙醋1瓶，四季宝花生酱300克，芝麻酱280克，所有酱料倒入锅内小火烧开约3分钟即可。","制作方法：
（1）将三黄鸡宰杀去内脏，斩成小块，洗净后控干水分，放入盆内加入A料抓拌均匀，腌渍3小时。
（2）锅上火入清油，烧至五成热时下入腌渍好的鸡块，炸至七成熟。
（3）锅留底油烧热，放入姜片葱段青红椒块拉油，入特制酱料翻炒，再下入鸡块翻炒均匀，出锅装盘。
关键：
1鸡块不能斩得太大，否则不易熟，影响上菜速度。
2用面粉腌渍鸡块，经炸制后口感比较脆。
3炸好的鸡块和酱料在锅内不能翻炒过久，因为酱料中带有糖分炒久了易粘锅。",未发布,
（四川成都蜀国演义酒楼旺销风味菜品）香辣鲍鱼仔（另附特制香锅油配方制法）,"介绍：
川剧变脸之所以多年来一直受到人们的喜爱，因为他能够迅速地给人呈现出多种面孔，谁也不知道下一张脸是什么样子，又很期待证实一下自己的猜测，这造就了他的神秘引人。以川剧文化贯穿整个经营理念的蜀国演义酒楼就因其多变的菜品多变的口味多变的管理风格在业界备受重视，成为经得起时间考验的常盛酒楼。
蜀国演义长年生意兴旺的原因，除了经营中处处都有文化理念的体现以外，主要源于其菜品质量。该店经典老菜和创意新菜并融，但是每款菜都有其特色，经典中有新意，创新中有内涵，就是看似平凡的菜品，仔细看来也有其独到之处。这让我们深深地体会到旺销必有理由，让我们一起感受一下最有情调的中国川菜吧。","原料：
鲍鱼仔10只，姜粒蒜粒各100克。
调料：
特制香锅油200克，小米椒粒5克，香辣酱火锅料牛娃仔底料（以上三料超市有售）各50克，干辣椒150克葱花花椒各20克，盐2克，味精鸡精各5克，美极酱油10克，芝麻油花椒油各8克。
特制香锅油配方制法：
1将花生油芝麻油各500克放入净锅中，加入桂皮花椒各5克，八角白豆蔻肉豆蔻砂仁各2克，小茴香香叶草果各3克，葱片姜片蒜（拍扁）各80克，圆葱120克，芹菜片50克调和均匀后开火加热。
2待油温升至五成热时，保持温度不变熬制2530分钟，加入十三香12克干辣椒粉10克调匀后关火。
3将所有原调料浸在油脂中自然冷却后即可使用。
4将炼好的香锅油放在汤桶中。所有的原调料都沉入底部，烹饪时从上面舀取净油使用即可。它可以制作干锅菜，也可以制作湘菜小炒，并能代替色拉油烹制所有菜品。
注意：
保存时，因为葱姜蒜圆葱芹菜等原料在五成热的油中浸炸二三十分钟已经水分尽失，成为干品，所以与其他香料一起泡在油中并不会酸败，且浸泡的过程还可以让香料进一步为油脂入味。自制香锅油在常温下可以保存相当长的一段时间。但是因为我们店的菜流量大，所以一般每隔1520天就需要重新炼制一批香锅油。","制作方法：
（1）将鲍鱼仔下入冷水锅中逐渐加热，将鲍鱼烫至断生。去掉壳去内脏洗净。
（2）将干辣椒花椒粒焯水。
（3）净锅内加入香锅油，放入汆水的干辣椒花椒小米椒粒火锅料牛蛙仔底料炒香，倒入鲍鱼烧34分钟，把汁收干加入剩余原调料翻炒出香即可。
主厨心得：
鲍鱼仔粗加工时一定要凉水下锅，不能像一般原料焯水那样沸水下料。炒料时要注意把汆水的辣椒和花椒炒香，收汁时加入剩余原调料后要快速出锅。",未发布,
美国杏仁爆安格斯牛小排（另附傻瓜辣鲜料制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
此菜选用美国安格斯牛小排，再加上川菜的烹调技法，牛肉过油时间不宜太长，本人建议八成熟最佳，因为时间长会失去牛肉的营养价值。","原料：
安格斯牛小排300克，蒜子50克，葱丁45克，炸熟的美国大杏仁52克。
调料：
傻瓜辣鲜料100克，色拉油1千克（约耗50克）。
傻瓜辣鲜料制法：
将湖南辣妹子酱50克鲜麻辣鲜露15克麻辣红油醋各10克白糖16克味精3克调和均匀。
适用：
为鲜辣味菜品入味，可炒可烧，可烹可煮，适用的烹调方法比较多","制作方法：
（1）将牛小排切成1厘米见方的丁，加入蛋清1只生粉3克美极鲜5克腌制。
（2）净锅上火下入色拉油，下入腌好的牛肉粒滑熟沥油。
（3）另起锅加入色拉油30克，入蒜子葱丁煸香放，入牛肉粒，再加入傻瓜辣鲜料翻炒均匀，出香味出锅装盘，放入炸熟的美国大杏仁即可。",未发布,
翅皇汁飞龙脯（另附傻瓜肉脯粉制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
此菜适用于宴会，可以提前制成半成品，飞龙脯和蛋清的比例必须掌握好，不然会影响菜的形状。","原料：
养殖飞龙脯肉200克，蛋清6只。
调料：
傻瓜肉脯粉10克，清汤100克，红花0.02克湿淀粉10克。
傻瓜肉脯粉制法：
将盐5克味精3克益鲜素2克胡椒粉1克沙姜粉0.5克调和均匀即成。
适用：
可为肉脯调味时使用，也适合于各类肉圆。","制作方法：
（1）将飞龙脯肉洗净去除筋膜，用清水漂净血水，切成粒冷却2小时，放入搅拌机加入蛋清打成蓉，倒入盆内。
（2）加入傻瓜肉脯粉搅拌均匀放入模具中，上笼蒸制10分钟至熟装盘。
（3）净锅上火加入清汤，放入红花烧开后收浓汤汁，淋在蒸好的原料上即成。",已发布,2025-10-19 23:14:23
沙窝�h大花菇（另附傻瓜生�h酱制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
此菜改掉以往的扣蒸等做法。先炸再煲再生h，更加爽口。","原料：
大花菇100克，葱段姜片蒜子干葱头各15克。
调料：
鸡蛋1个，生粉30克，傻瓜生h酱50克，色拉油1千克（约耗30克），白兰地5克。
傻瓜生h酱制法：
净锅上火下入色拉油200克，下入蒜蓉100克炒香，再下入海鲜酱500克，蒜蓉辣椒酱白糖各250克，柱侯酱700克，花生酱沙茶酱各200克，沙嗲酱蚝油各10克，熟猪油和鸡油各30克，白兰地50克，翻炒均匀即成。
适用：
专为生h菜品的调味而设计，因为生h菜品耗时较长，所以此酱汁中加入的调味品都比较耐长久加热。","制作方法：
（1）花菇片成0.8厘米厚的大片，下入清,水中焯至断生。
（2）将鸡蛋打开只取蛋清，加生粉做成蛋清糊，将花菇粘干水分，入蛋清中挂糊。
（3）起锅上火，下入色拉油烧三成热时下入花菇，炸至七成干捞出。
（4）小煲上火，下鸡油熟猪油，再入葱段姜片蒜子干葱头炒香，把炸好的花菇片摆在辅料上，浇傻瓜生h酱加盖h10分钟，在盖上浇白兰地即可。",未发布,
椒麻松阪肉（另附傻瓜炝锅料制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
在煸炝傻瓜炝锅料时应该注意的问题在前面已经说过了，另外最主要的就是挂糊必须均匀，油温和火候恰到好处，麻辣味不宜太重。","原料：
松阪肉（市场有售）300克。
调料：
色拉油800克（约耗50克），麻辣油40克，淀粉50克，傻瓜炝锅料80克。
傻瓜炝锅料制法：
将干尖椒丝50克，鲜麻椒25克，美极鲜味汁5克，白糖15克，佛手味精3克调和均匀。
适用：
适用于麻辣味菜品的炝锅出香。使用时用油脂将其煸炝出香，再下入主辅料快速烹制即可。因为此料将固体液体和粉末类调料都混合在一起，所以炝锅时应选择低一点的油温，防止不同成熟度的原料焦糊。","制作方法：
（1）将松阪肉切条，挂上水粉糊。
（2）净锅上火，下入色拉油烧至六成热，将原料下入锅中，炸至金黄沥油。
（3）另起锅加入麻辣油，再加入傻瓜炝锅料，放入炸好的原料，翻炒均匀即可。",未发布,
鱼子酱烧三鲜豆腐（另附傻瓜鱼子酱制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
在煎制豆腐时一定要小火慢煎，以免会出现馅料不熟，炒鱼子酱时本人建议用沙锅炒制，炒制时间最好不低于10分钟。","原料：
豆腐500克，三鲜馅（虾仁60克鲜贝60克韭菜60克盐3克胡椒粉2克葱油10克味精2克），鸡蛋2只。
调料：
傻瓜鱼子酱150克，生粉20克，色拉油50克。
傻瓜鱼子酱制法：
将黄鱼子50克玫肉碎青红椒米各25克葱花12克蚝油5克辣妹子酱26克，醋糖味达美味极鲜各10克，湿淀粉20克，味精鸡粉各3克，五香红油11克调和均匀。
适用：
专为鱼子酱类的菜品而设计。","制作方法：
（1）将豆腐改刀成日字片，拍粉后酿入（豆腐对折夹馅）调好的三鲜馅。
（2）净锅上火，烧热后加入色拉油，把酿好的豆腐拖全蛋糊放入锅中，煎至两面金黄出锅码盘。
（3）另起锅上火，加入傻瓜鱼子酱炒香，淋入煎好的豆腐上即可。",未发布,
复合烧汁迷你茄（另附傻瓜复合烧汁制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
此菜酱香浓郁咸香微甜，茄子的改刀方式可以是十字花刀，这样酿入的虾胶比较均匀，但是炸制时容易散落，需拍较厚的生粉才可以。我个人建议在茄子尾部打一字花刀，这样酿入虾胶比较容易，炸制时也不易散脱。","原料：
迷你茄2个，制好的虾胶50克，四米料头（干葱米青红椒米姜米）2克。
调料：
傻瓜复合烧汁30克，生粉50克，鲜汤150克，葱油3克，色拉油1千克（约耗50克）。
傻瓜复合烧汁制法：
将日本烧汁750克海鲜酱1千克青芥辣1支白糖100克盐50克，味精10克清水500克，鸡粉250克，老抽500克蚝油325克生抽250克。搅拌均匀，小火熬制15分钟即可。
适用：
各种烧汁菜品的制作。","制作方法：
（1）将迷你茄自然解冻，打上十字花刀，在刀口处粘匀生粉，夹入虾胶，再将整茄拍上生粉。
（2）净锅上火，下入色拉油，烧至五成热时，下茄子生坯炸至成熟捞出。
（3）另起锅下入葱油，入四米料头炒香，下傻瓜复合烧汁翻炒，入鲜汤，烧开后收浓芡汁，浇于盘底炸好的茄子士面即可。",未发布,
香煎金钱鳕鱼（另附傻瓜煎鱼料制法）,"介绍：
我们提出了傻瓜酱汁也要控制成本的概念后得到广大读者的响应，他们纷纷赞同酱汁控成的概念，并研发了一批符合这一标准的酱汁与菜品。这些酱汁的成本虽不高，但配比并不简单，酱汁越复杂，烹调起菜品来越简单。
厨艺评论：
此菜快捷方便，可以提前按销售量备货。关键在煎制时要注意火候均匀，以免影响此菜的颜色脆感。因为煎制的过程也是入味的过程，所以我认为应该选择中小火煎制。这样初煎时就应该火力旺一点，帮助鳕鱼定型，以免再煎时散脱。","原料：
鳕鱼块（市场有售）250克。
调料：
傻瓜煎鱼料60克，色拉油50克。
傻瓜煎鱼料制法：
将孜然粒辣椒面芝麻粒各6克，李锦记蒜蓉辣酱15克，青红椒圆葱米各20克，盐5克，味粉4克调和均,匀。
适用：
适合各类煎制菜品，也可以用于炒烹类菜肴的调味使用。","制作方法：
（1）将鳕鱼块洗净，切成小块，用竹签串好。
（2）净锅上火，加入色拉油将串制好的鳕鱼块煎至两面金黄，下入傻瓜煎鱼料煎至入味出锅装盘即可。",未发布,
（北京瑶琴食府旺销创意菜品）油浸鲈鱼（附自制五味汁制法）,"旺销理由：
此菜是一款比较地道的台湾菜肴，但是汁水很特别，不用使用传统的葱油汁，而是选用番茄酱酱油膏乌醋各种香辛料调制而成的五味汁调味，风味很独特，味型很新颖，推出后卖得非常火。成菜鱼肉外焦里嫩，酸辣适口，很能刺激食客的食欲。
酒店介绍：
这是一家经营创意菜的餐厅，环境古典唯美，老板别出心裁用ipad作为点菜器，很多明星非常欣赏这里的菜品与环境，常常来此做客。","原料：
鲈鱼1条，芥蓝100克。
调料：
自制五味汁70克，A料（胡椒粉4克，料酒5克，盐3克，味精2克），B料（青红椒末10克，葱末5克），色拉油1千克（约耗50克）。
自制五味汁制法：
将蒜末50克，香菜末30克，干葱末40克，小米辣20克，小葱花10克炒香，与炒香的番茄膏40克，酱油膏30克，乌醋20克，美极鲜味汁25克调匀即可。","制作方法：
（1）将鲈鱼宰杀治净，从腹部开刀使鲈鱼平趴，将A料抹在鲈鱼内壁里腌制入味。
（2）锅入油烧至七成热，下入腌好的鲈鱼浸炸至熟，捞出控油，将油锅油温升至八成热，再次下入鲈鱼复炸，炸至表皮发脆捞出。
（3）将五味汁烧热，浇在鱼体上，撒B料，搭配焯好水的芥蓝上桌即可。",未发布,
（四川成都天香仁和酒楼特色菜品）秘制大盆蟹（附秘制味水配方制法）,"介绍：
香辣蟹是一款有着颇高人气的菜肴，但是这个季节食用，客人肯定会上火。为此，我们决定在保持一定辣味的基础上，增加菜肴的清爽感。
1秘制味水口味清爽。
这款菜肴同样用到了一款咸鲜味超足的秘制味水。它是用蔬菜汁香料鲜紫苏鲜汤生抽等熬制而成，不仅可以提升菜肴的鲜味，还能遮盖异味，值得你尝试一下。
2搭配复合料，增加鲜味。
传统香辣蟹在烹调时几乎没有配料，口味和口感也就比较单一，所以我们要给它搭配一些辅料，让它可以既有浓郁的鲜味又有足够的清爽感，还能多一些口感变化。为此我们搭配了基围虾来增加鲜味，搭配了笋片增加口感，搭配木耳和豆腐调整口感和色泽，搭配红美人椒提升鲜辣味。
旺菜动态：
即便是川菜，在夏季也需要有清爽的菜肴，所以在成都天香仁和的新菜谱中，可以看到很多清爽的时令菜。下面给大家介绍的三款菜，制作非常简单，但各有技术要点，在调味方面也都进行了大刀阔斧地改造，故一经推出就受到了食客的青睐。比如香辣蟹改用新式的清爽汁水烹调，菜肴的爽口感立即得到了改良而且吃起来照样过瘾。
厨艺评论：
有蔬菜料有紫苏，菜肴的鲜味肯定很足。不过我觉得配料还是少一些为好，虾豆腐木耳笋片虽然让菜肴的口感和内容更丰富，但是却抢掉了蟹的风头，建议删减。","原料：
螃蟹2只（每只重约400克），基围虾50克。
辅料：
笋片木耳各50克，美人椒段30克。豆腐50克。
调料：
秘制味水250克。
秘制味水配方制法：
锅内倒入鲜汤2千克蔬菜料（蔬菜的下脚料）) 1千克鲜紫苏叶25克香料（八角桂皮各4，克香叶2片）大火烧开，下入生抽一品鲜酱油各75克，蚝油50克，熬至香味浓郁，离火过滤取汤即可。","制作方法：
（1）螃蟹宰杀后切成大块，放入烧至四成热的色拉油中小火滑油；基围虾50克去头和壳，焯水。
（2）笋片木耳同样焯水。
（3）锅内倒入秘制味水，下入蟹虾美人椒段豆腐木耳笋片，大火烧开，改小火烧23分钟取出装盘。",未发布,
